,Acc (vertical),LyingDown
275,77.85600000000001,0
276,80.152,0
277,-30.086,1
278,-27.789,1
279,83.597,0
280,87.042,0
281,93.932,0
282,97.377,0
283,-17.454,1
284,66.373,0
285,62.928,0
286,-22.048,1
287,29.627,1
288,89.339,0
289,75.559,0
290,76.708,0
291,27.33,1
292,88.191,0
293,64.076,0
294,34.22,1
295,83.597,0
296,82.449,0
297,89.339,0
298,80.152,0
299,85.894,0
300,16.994999999999997,1
301,22.737,1
302,89.339,0
303,74.411,0
304,15.847,1
305,22.737,1
306,101.97,0
307,26.182,1
308,98.526,0
309,19.292,1
310,90.487,0
311,90.487,0
312,30.775,1
313,27.33,1
314,39.961,1
315,29.627,1
316,89.339,0
317,28.478,1
318,87.042,0
319,98.526,0
320,21.588,1
321,50.296,0
322,-3.6746,1
323,-0.22966,1
324,74.411,0
325,76.708,0
326,26.182,1
327,-8.267900000000001,1
328,-12.861,1
329,-5.9712000000000005,1
330,96.229,0
331,-8.267900000000001,1
332,-19.751,1
333,-5.9712000000000005,1
334,95.081,0
335,80.152,0
336,80.152,0
337,2.067,1
338,-1.378,1
339,-12.861,1
340,2.067,1
341,77.85600000000001,0
342,4.3636,1
343,-8.267900000000001,1
344,92.784,0
345,77.85600000000001,0
346,-8.267900000000001,1
347,-4.8229,1
348,-2.5263,1
349,30.775,1
350,80.152,0
351,79.00399999999999,0
352,-15.158,1
353,-16.306,1
354,-11.713,1
355,-20.899,1
356,74.411,0
357,73.263,0
358,73.263,0
359,79.00399999999999,0
360,-10.565,1
361,-22.048,1
362,-8.267900000000001,1
363,83.597,0
364,-20.899,1
365,-9.4162,1
366,-3.6746,1
367,97.377,0
368,-8.267900000000001,1
369,-12.861,1
370,83.597,0
371,83.597,0
372,-10.565,1
373,-11.713,1
374,31.923,1
375,46.851,1
376,45.703,1
377,46.851,1
378,85.894,0
379,35.368,1
380,27.33,1
381,26.182,1
382,29.627,1
383,99.674,0
384,33.072,1
385,21.588,1
386,98.526,0
387,22.737,1
388,18.143,1
389,75.559,0
390,52.593,1
391,42.258,1
392,89.339,0
393,36.516,1
394,30.775,1
395,15.847,1
396,29.627,1
397,38.813,1
398,30.775,1
399,26.182,1
400,25.033,1
401,100.82,0
402,34.22,1
403,29.627,1
404,27.33,1
405,18.143,1
406,15.847,1
407,29.627,1
408,15.847,1
409,90.487,0
410,89.339,0
411,108.86,0
412,39.961,1
413,95.081,0
414,95.081,0
415,95.081,0
416,-0.22966,1
417,85.894,0
418,-3.6746,1
419,-3.6746,1
420,-15.158,1
421,90.487,0
422,59.483,0
423,-5.9712000000000005,1
424,-8.267900000000001,1
425,-9.4162,1
426,0.91865,1
427,75.559,0
428,-3.6746,1
429,-8.267900000000001,1
430,79.00399999999999,0
431,66.373,0
432,-5.9712000000000005,1
433,95.081,0
434,-15.158,1
435,-1.378,1
436,5.5119,1
437,85.894,0
438,-14.009,1
439,-14.009,1
440,91.636,0
441,69.818,0
442,-5.9712000000000005,1
443,106.56000000000002,0
444,21.588,1
445,-1.378,1
446,100.82,0
447,100.82,0
448,70.966,0
449,52.593,1
450,101.97,0
451,80.152,0
452,76.708,0
453,42.258,0
454,-1.378,1
455,83.597,0
456,65.224,0
457,34.22,1
458,28.478,1
459,88.191,0
460,30.775,1
461,33.072,1
462,36.516,1
463,33.072,1
464,95.081,0
465,42.258,1
466,29.627,1
467,43.406,1
468,0.91865,1
469,105.42,0
470,36.516,1
471,34.22,1
472,14.698,1
473,25.033,1
474,25.033,1
475,12.402,1
476,107.71,0
477,35.368,1
478,15.847,1
479,19.292,1
480,28.478,1
481,81.301,0
482,19.292,1
483,14.698,1
484,10.105,1
485,10.105,1
486,25.033,1
487,85.894,0
488,23.885,1
489,13.55,1
490,6.6602,1
491,8.9569,1
492,6.6602,1
493,-3.6746,1
